Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,4.76,5.4,,2007,5.4,4.76,LEGO Star Wars: The Complete Saga,DS,5.4
Driver 2,PS,2000,Action,Atari,4.73,7.7,,2000,7.7,4.73,Driver 2,PS,7.7
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,4.73,8.7,,2011,8.7,4.73,Batman: Arkham City,X360,8.7
Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,4.68,7.7,,2000,7.7,4.68,Tony Hawk's Pro Skater 2,PS,7.7
The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,4.67,8.2,,2002,8.2,4.67,The Lord of the Rings: The Two Towers,PS2,8.2
Tomb Raider,PS,1996,Action,Eidos Interactive,4.63,8.6,,1996,8.6,4.63,Tomb Raider,PS,8.6
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,4.62,7.6,,2008,7.6,4.62,Animal Crossing: City Folk,Wii,7.6
Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,4.62,8.1,,2015,8.1,4.62,Uncharted: The Nathan Drake Collection,PS4,8.1
The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,4.6,8.9,,2002,8.9,4.6,The Legend of Zelda: The Wind Waker,GC,8.9
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,4.6,8.4,,2007,8.4,4.6,Guitar Hero III: Legends of Rock,Wii,8.4
Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,4.59,8.4,,2013,8.4,4.59,Luigi's Mansion: Dark Moon,3DS,8.4
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,4.57,8.2,,2011,8.2,4.57,Forza Motorsport 4,X360,8.2
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.53,7.9,,2004,7.9,4.53,Madden NFL 2005,PS2,7.9
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,4.53,7.9,,2007,7.9,4.53,Guitar Hero III: Legends of Rock,X360,7.9
Madden NFL 07,PS2,2006,Sports,Electronic Arts,4.49,8.2,,2006,8.2,4.49,Madden NFL 07,PS2,8.2
Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,4.48,6.4,,2015,6.4,4.48,Halo 5: Guardians,XOne,6.4
Spider-Man: The Movie,PS2,2002,Action,Activision,4.48,7.9,,2002,7.9,4.48,Spider-Man: The Movie,PS2,7.9
Call of Duty: Infinite Warfare,PS4,2016,Shooter,Activision,4.46,3.4,,2016,3.4,4.46,Call of Duty: Infinite Warfare,PS4,3.4
God of War,PS2,2005,Action,Sony Computer Entertainment,4.45,8.9,,2005,8.9,4.45,God of War,PS2,8.9
Splatoon,WiiU,2015,Shooter,Nintendo,4.43,8.5,,2015,8.5,4.43,Splatoon,WiiU,8.5
Nintendo Land,WiiU,2012,Misc,Nintendo,4.42,7.9,,2012,7.9,4.42,Nintendo Land,WiiU,7.9
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,4.41,7.5,,2001,7.5,4.41,Tony Hawk's Pro Skater 3,PS2,7.5
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,4.39,8.9,,2006,8.9,4.39,Winning Eleven: Pro Evolution Soccer 2007,PS2,8.9
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,4.38,8.7,,2006,8.7,4.38,The Elder Scrolls IV: Oblivion,X360,8.7
Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,4.37,9.1,,2005,9.1,4.37,Need for Speed: Most Wanted,PS2,9.1
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36,8.3,,2010,8.3,4.36,Michael Jackson: The Experience,Wii,8.3
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,4.36,4.8,,2014,4.8,4.36,Call of Duty: Advanced Warfare,PS3,4.8
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,4.34,8.1,,2006,8.1,4.34,Resistance: Fall of Man,PS3,8.1
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,4.33,9,,2005,9,4.33,Kingdom Hearts II,PS2,9
